hephaestus-zero@xxxxx18x:/workspace$ /usr/local/bin/python /workspace/models/analyze_importance_purified.py

========================================
 M1 Model (LONG) 
========================================
✅ Active features (Gain > 0): 42 / 42
Rank  Feature Name                                                  Gain
---------------------------------------------------------------------------
1     e1c_rsi_momentum_21_neutralized_M1                       481413.55
2     e1f_vocabulary_diversity_80_neutralized_M1               259472.14
3     e1f_vocabulary_diversity_40_neutralized_M1                88033.94
4     e1f_kinetic_energy_10_neutralized_M1                      67588.99
5     e1f_golden_ratio_adherence_55_neutralized_M1              34148.38
6     e1f_vocabulary_diversity_15_neutralized_M1                15293.26
7     e1f_vocabulary_diversity_25_neutralized_M1                 9611.72
8     e1f_golden_ratio_adherence_34_neutralized_M1               9463.46
9     e1f_golden_ratio_adherence_21_neutralized_M1               8916.90
10    e1f_network_density_30_neutralized_M1                      8475.55
11    e1f_network_density_50_neutralized_M1                      7940.32
12    e1f_semantic_flow_40_neutralized_M1                        7859.10
13    e1f_harmony_96_neutralized_M1                              7186.73
14    e1f_symmetry_measure_34_neutralized_M1                     7121.01
15    e1f_harmony_48_neutralized_M1                              7028.63
16    e1f_musical_tension_48_neutralized_M1                      6794.52
17    e1f_network_density_100_neutralized_M1                     6684.18
18    e1f_linguistic_complexity_40_neutralized_M1                6544.79
19    e1f_musical_tension_96_neutralized_M1                      6345.63
20    e1f_rhythm_pattern_48_neutralized_M1                       6067.66
21    e1f_symmetry_measure_21_neutralized_M1                     5806.08
22    e1f_tonality_96_neutralized_M1                             5792.46
23    e1f_musical_tension_24_neutralized_M1                      5634.32
24    e1f_aesthetic_balance_89_neutralized_M1                    5496.90
25    e1f_network_clustering_50_neutralized_M1                   5396.38
26    e1f_network_clustering_100_neutralized_M1                  5339.56
27    e1f_rhythm_pattern_96_neutralized_M1                       5334.15
28    e1f_network_density_20_neutralized_M1                      5329.20
29    e1f_tonality_48_neutralized_M1                             5037.74
30    e1f_symmetry_measure_89_neutralized_M1                     4753.67
31    e1f_linguistic_complexity_25_neutralized_M1                4658.38
32    e1f_aesthetic_balance_34_neutralized_M1                    4496.81
33    e1f_symmetry_measure_55_neutralized_M1                     4469.34
34    e1f_tonality_24_neutralized_M1                             4352.57
35    e1f_tonality_12_neutralized_M1                             4282.85
